Question,Answer,Keywords
"Apakah data langsung tersimpan setelah upload berkas?","Setelah klik Simpan/Upload, sistem menyimpan otomatis. Anda bisa reload dan melihat status berkas apakah sudah terkirim.","tersimpan otomatis, setelah upload, simpan berkas"
"Bagaimana memastikan berkas yang saya kirim bisa dibuka panitia?","Setelah upload, coba buka ulang file di dashboard. Jika terbuka normal, admin juga bisa membacanya. Jangan tutup browser sebelum status selesai.","cek berkas, validasi file, buka ulang, baca berkas"
"Bolehkah menggabungkan beberapa dokumen menjadi satu PDF?","Boleh untuk lampiran pendukung, tapi dokumen utama (KK, Akta, Raport) sebaiknya dipisah agar mudah diverifikasi.","gabung pdf, merge dokumen, aturan upload"
"Bagaimana mengecilkan ukuran PDF sebelum upload?","Gunakan kompresor online atau aplikasi seperti Smallpdf/iLovePDF. Pastikan hasil tetap terbaca sebelum diunggah.","kompres pdf, kecilkan ukuran, alat kompres, upload"
"Dimana saya bisa melihat daftar berkas wajib?","Buka menu Syarat di dashboard atau halaman informasi. Di sana tercantum berkas wajib per jenjang dan instruksi unggah.","daftar berkas, syarat, wajib, menu syarat"
"Bagaimana alur pembayaran biaya pendaftaran?","Setelah berkas minimum diisi, buka menu Pembayaran/Tagihan. Lihat nominal, lakukan transfer sesuai instruksi, lalu unggah bukti bayar.","alur bayar, biaya pendaftaran, tagihan, transfer"
"Metode pembayaran apa saja yang tersedia?","Biasanya tersedia transfer bank (rekening yayasan) dan unggah bukti. Jika ada virtual account atau e-wallet, akan tertulis di instruksi pembayaran.","metode bayar, transfer bank, ewallet, virtual account"
"Dimana mengunggah bukti pembayaran?","Masuk menu Pembayaran di dashboard, klik Unggah Bukti, pilih foto/scan bukti transfer lalu simpan.","unggah bukti, upload bayar, bukti transfer, menu pembayaran"
"Berapa lama verifikasi pembayaran dilakukan?","Biasanya 1x24 jam kerja. Saat ramai bisa lebih lama. Pantau status pembayaran di dashboard.","verifikasi pembayaran, lama proses, 1x24 jam, status bayar"
"Apa yang terjadi jika salah nominal transfer?","Segera hubungi admin dan unggah bukti. Admin akan cek selisih. Bisa diminta transfer kekurangan atau dikembalikan jika kelebihan.","salah nominal, selisih, kekurangan, kelebihan bayar"
"Bisakah saya membayar langsung (tunai) di pesantren?","Tanyakan ke admin. Umumnya pembayaran pendaftaran dilakukan via transfer untuk rekam jejak, tapi tunai bisa dipertimbangkan saat datang daftar ulang.","bayar tunai, langsung, datang ke pesantren, kebijakan"
"Apakah ada biaya tambahan selain uang pendaftaran?","Selain biaya pendaftaran, ada biaya daftar ulang/syahriyah saat diterima. Detail ada di dashboard Biaya atau pengumuman gelombang.","biaya tambahan, syahriyah, daftar ulang, uang pangkal"
"Bagaimana cara melihat tagihan di dashboard?","Buka menu Pembayaran/Tagihan. Di sana tertera nominal, batas waktu, dan status. Jika belum muncul, refresh atau logout-login kembali.","lihat tagihan, dashboard pembayaran, batas waktu, status bayar"
"Apakah bisa membayar dengan virtual account?","Jika opsi VA tersedia, nomor VA akan muncul di instruksi. Jika belum tersedia, gunakan transfer manual ke rekening yang tercantum.","virtual account, va, metode bayar, instruksi"
"Jika transfer beda bank, apakah ada biaya admin?","Ya, biaya admin mengikuti kebijakan bank pengirim. Nominal yang tercatat di dashboard belum termasuk biaya admin bank.","beda bank, biaya admin, transfer, selisih"
"Kenapa status pembayaran masih pending padahal sudah transfer?","Verifikasi manual butuh waktu. Pastikan Anda unggah bukti yang jelas. Jika lebih dari 24 jam kerja, kirim bukti ke admin untuk dipercepat.","pending pembayaran, sudah transfer, butuh verifikasi, lambat"
"Bagaimana cara mengajukan keringanan atau cicilan biaya?","Hubungi admin/nomor kontak resmi dan sertakan alasan serta bukti pendukung. Kebijakan keringanan bersifat case by case.","keringanan biaya, cicilan, dispensasi, ajukan"
"Apa yang harus dilakukan setelah pembayaran diverifikasi?","Status akan berubah menjadi Lunas/Terverifikasi. Lanjutkan cek status pendaftaran, unduh kartu bukti, dan siapkan daftar ulang jika diterima.","setelah bayar, status lunas, lanjutkan, kartu bukti"
"Bagaimana cara cek status pendaftaran?","Masuk dashboard lalu buka menu Status, atau gunakan halaman cek status publik dengan nomor pendaftaran yang dikirim setelah submit.","cek status, dashboard, nomor pendaftaran, pantau"
"Apa arti status 'Menunggu Verifikasi'?","Panitia sedang meninjau berkas dan pembayaran Anda. Tunggu notifikasi atau cek berkala.","menunggu verifikasi, review, antrian, proses"
"Apa arti status 'Perlu Perbaikan'?","Ada catatan pada berkas/biodata. Buka detail status untuk melihat apa yang harus diperbaiki lalu unggah ulang/sunting data.","perlu perbaikan, revisi, catatan, perbaiki berkas"
"Apa arti status 'Diterima'?","Anda lulus seleksi. Ikuti instruksi daftar ulang: bayar uang pangkal/syahriyah jika diminta dan datang sesuai jadwal.","status diterima, lulus, daftar ulang, instruksi"
"Apa arti status 'Ditolak'?","Data tidak memenuhi kriteria seleksi. Anda bisa menghubungi admin untuk klarifikasi atau mendaftar kembali di gelombang berikutnya jika diperbolehkan.","status ditolak, tidak lolos, gagal, klarifikasi"
"Status 'Lengkapi Berkas' muncul, apa maksudnya?","Beberapa dokumen wajib belum lengkap atau kosong. Unggah berkas yang diminta, simpan, lalu minta verifikasi ulang.","lengkapi berkas, belum lengkap, unggah dokumen, wajib"
"Bagaimana cara mengirim revisi dokumen setelah ada catatan?","Perbaiki file sesuai catatan, unggah ulang di slot yang sama, klik Simpan. Beri tahu admin jika perlu dicek ulang segera.","revisi dokumen, unggah ulang, catatan, kirim revisi"
"Apakah status perubahan dikirim via email atau WhatsApp?","Notifikasi bisa dikirim ke email/WA yang terdaftar. Namun, tetap cek dashboard secara berkala untuk update real-time.","notifikasi status, email, whatsapp, update"
"Berapa lama verifikasi berkas biasanya selesai?","Rata-rata 1-3 hari kerja tergantung antrian. Saat puncak gelombang bisa lebih lama. Selalu cek dashboard.","lama verifikasi, 1-3 hari, antrian, cek berkala"
"Bagaimana cara daftar ulang setelah dinyatakan diterima?","Ikuti instruksi di status: bayar uang pangkal jika ada, unggah bukti, unduh kartu daftar ulang, dan datang ke pondok sesuai jadwal yang tertera.","daftar ulang, diterima, langkah lanjut, datang ke pondok"
"Apakah ada batas waktu daftar ulang setelah diterima?","Ada. Batas waktu tercantum di status atau pengumuman. Jika melewati tenggat tanpa konfirmasi, kursi bisa diberikan ke cadangan.","batas waktu daftar ulang, tenggat, cadangan, konfirmasi"
"Apakah wajib datang ke pesantren saat daftar ulang?","Biasanya iya, untuk verifikasi fisik, serah dokumen asli, dan orientasi. Jika berhalangan, koordinasikan dengan admin untuk jadwal alternatif.","datang langsung, daftar ulang offline, verifikasi fisik"
"Bisakah mengubah jadwal kedatangan asrama?","Bisa dengan konfirmasi ke admin sebelum tanggal yang dijadwalkan. Pastikan ada alasan jelas dan usulan tanggal baru.","ubah jadwal, kedatangan, koordinasi admin, alasan"
"Apa yang harus dibawa saat daftar ulang offline?","Bawa dokumen asli (KK, Akta, rapor), bukti pembayaran, kartu bukti pendaftaran, dan perlengkapan awal sesuai daftar perlengkapan santri.","bawa apa, daftar ulang offline, dokumen asli, perlengkapan"
"Bagaimana cara membatalkan pendaftaran yang sudah berjalan?","Hubungi admin dan sampaikan alasan. Data Anda dapat ditandai batal. Jika sudah bayar, kebijakan refund mengikuti aturan pesantren.","batal daftar, batalkan, refund, hubungi admin"
"Apakah data saya dihapus jika membatalkan?","Data bisa disimpan sebagai arsip. Untuk penghapusan penuh, ajukan permintaan resmi ke admin sesuai kebijakan privasi.","hapus data, arsip, privasi, permintaan hapus"
"Bagaimana memperbarui nomor WhatsApp yang salah tulis?","Masuk ke profil/biodata, ubah nomor WA, simpan. Pastikan kode negara benar. Beri tahu admin jika menunggu verifikasi.","ubah nomor wa, salah nomor, update kontak, profil"
"Bisakah saya mengganti email login?","Jika belum diverifikasi, ubah di profil. Jika sudah terikat, minta bantuan admin untuk update email dan lakukan verifikasi ulang.","ganti email, ubah login, verifikasi ulang, profil"
"Bagaimana mengubah pilihan santri mukim/kalong?","Edit data pilihan tinggal di dashboard sebelum verifikasi. Jika sudah dikunci, ajukan perubahan melalui admin.","mukim, kalong, non mukim, ubah pilihan, tinggal"
"Apakah bisa pindah ke gelombang lain setelah submit?","Selama periode gelombang lain masih buka dan belum diverifikasi, hubungi admin untuk memindahkan gelombang. Kebijakan tergantung kuota.","pindah gelombang, ubah gelombang, kuota, periode"
"Kapan gelombang pendaftaran dibuka setiap tahun?","Biasanya ada beberapa gelombang menuju tahun ajaran baru. Jadwal resmi dipublikasikan di website dan media sosial pondok.","jadwal gelombang, periode, pembukaan, kalender"
"Apakah ada kuota per gelombang pendaftaran?","Ada kuota agar asrama dan kelas terjaga. Jika kuota hampir penuh, sistem bisa menutup gelombang lebih cepat.","kuota gelombang, penuh, tutup gelombang, kapasitas"
"Apa yang terjadi jika kuota gelombang sudah penuh?","Pendaftaran bisa dialihkan ke gelombang berikutnya atau masuk daftar tunggu cadangan. Ikuti instruksi di dashboard.","kuota penuh, dialihkan, daftar tunggu, gelombang berikut"
"Bisakah saya daftar saat situs dalam mode maintenance?","Jika maintenance aktif, halaman pendaftaran mungkin terkunci sementara. Coba lagi setelah pengumuman selesai atau hubungi admin.","maintenance, tidak bisa daftar, menunggu, downtime"
"Apakah website pendaftaran bisa diakses 24 jam?","Ya, layanan online tersedia 24/7 kecuali saat maintenance. Namun verifikasi hanya diproses pada jam kerja panitia.","24 jam, akses, jam kerja, online"
"Apa yang harus dilakukan jika server terasa lambat?","Coba refresh, gunakan jaringan yang lebih stabil, atau coba di luar jam sibuk. Hindari upload file besar saat koneksi lemah.","server lambat, lemot, solusi, koneksi"
"Browser apa yang direkomendasikan untuk mendaftar?","Gunakan Chrome/Edge/Firefox terbaru atau Safari di iOS. Aktifkan JavaScript dan izinkan pop-up untuk email reset.","browser rekomendasi, chrome, firefox, safari, javascript"
"Bisakah mendaftar menggunakan HP saja?","Bisa. Situs responsif di mobile. Pastikan koneksi stabil saat upload dokumen agar tidak gagal.","daftar via hp, mobile friendly, responsif, upload"
"Apa yang dilakukan jika upload selalu gagal karena koneksi lemah?","Gunakan Wi-Fi stabil, kompres file, coba upload satu per satu, atau lanjutkan saat jaringan lebih baik.","upload gagal, koneksi lemah, wifi, solusi"
"Apakah aplikasi bisa disimpan sebagai PWA di HP?","Ya, klik Add to Home Screen saat diminta di browser. PWA membantu akses cepat, tapi tetap butuh koneksi untuk unggah/cek status.","pwa, add to home screen, shortcut, offline"
"Apakah saya mendapat notifikasi otomatis saat status berubah?","Jika notifikasi email/WA diaktifkan, Anda akan mendapat pesan. Namun tetap cek dashboard untuk memastikan.","notifikasi otomatis, perubahan status, email, wa"
"Bagaimana cara kontak admin jika ada kendala?","Gunakan nomor WA resmi di halaman Kontak atau tombol chat admin di dashboard. Sertakan nama dan nomor pendaftaran saat bertanya.","kontak admin, bantuan, whatsapp, hubungi"
"Apakah data pendaftaran saya aman?","Data dikirim lewat koneksi HTTPS dan disimpan di database terproteksi. Hanya panitia berwenang yang bisa mengakses.","keamanan data, https, privasi, proteksi"
"Siapa saja yang bisa melihat berkas yang saya unggah?","Hanya panitia/verifikator yang memiliki akses. Data tidak dibagikan ke pihak luar tanpa izin.","akses berkas, privasi, panitia, verifikator"
"Apakah ada cadangan data jika saya lupa menyimpan?","Setiap kali klik Simpan, data tersimpan di server. Jika browser tertutup sebelum simpan, perubahan terakhir bisa hilang, jadi biasakan klik Simpan.","backup data, lupa simpan, server, kebiasaan simpan"
"Bagaimana cara mencetak formulir pendaftaran?","Buka menu Cetak/Unduh di dashboard setelah data lengkap. Klik Cetak untuk mendapatkan PDF formulir yang bisa diprint.","cetak formulir, unduh pdf, print, formulir pendaftar"
"Apa fungsi Kartu Bukti Pendaftaran?","Kartu berisi nomor pendaftaran dan QR/tautan cek status. Bawa saat daftar ulang atau tes bila diminta.","kartu bukti, nomor pendaftaran, qr, cetak"
"Apakah perlu membawa bukti pendaftaran saat tes atau daftar ulang?","Ya, bawa kartu bukti/print PDF sebagai identitas pendaftar dan untuk scan QR jika diperlukan.","bawa bukti, tes, daftar ulang, qr"
"Apakah ada tes seleksi untuk calon santri?","Tergantung kebijakan tahun berjalan. Jika ada tes baca Al-Quran/placement test, jadwal akan diumumkan di dashboard/status.","tes seleksi, placement, baca quran, jadwal tes"
"Bagaimana mengikuti wawancara jika diwajibkan?","Jadwal dan link/ruang wawancara akan dikirim melalui status atau WA. Pastikan hadir tepat waktu dengan perangkat yang siap.","wawancara, interview, jadwal, link"
"Apakah ada tes kesehatan yang harus dilalui?","Beberapa gelombang mewajibkan surat sehat atau tes dasar. Lihat syarat berkas kesehatan di dashboard atau pengumuman.","tes kesehatan, surat sehat, medical check, syarat"
"Apa saja berkas kesehatan yang mungkin diminta?","Umumnya surat keterangan sehat, kartu vaksin, atau hasil rapid. Cek menu Syarat karena bisa berubah setiap tahun.","berkas kesehatan, vaksin, rapid, surat sehat"
"Bagaimana pembagian asrama putra/putri ditentukan?","Pendaftaran putra/putri dipisah. Pastikan memilih jenis kelamin dengan benar. Penempatan kamar akan diatur pengurus asrama.","asrama putra, putri, penempatan, kamar"
"Berapa usia minimal untuk mendaftar?","Mengacu pada jenjang: MI mengikuti usia masuk SD, MTs setara SMP, MA setara SMA. Umur lebih muda/lebih tua dapat dipertimbangkan kasus per kasus.","usia minimal, umur, jenjang, syarat usia"
"Apakah bisa daftar sambil kuliah/mahasiswa?","Bisa, banyak mahasiswa yang mondok. Pilih jenjang sesuai pendidikan (mahasiswa pilih kategori mahasiswa) dan koordinasikan jadwal kuliah.","mahasiswa, kuliah sambil mondok, kategori mahasiswa"
"Bagaimana jika ingin memperbarui nilai rapor yang sudah diunggah?","Unggah file rapor terbaru di slot yang sama dan simpan. Beri catatan di kolom keterangan jika diperlukan.","update rapor, nilai, unggah ulang, terbaru"
"Apakah data bisa diisi bertahap dan disimpan per bagian?","Bisa. Setiap bagian punya tombol Simpan. Lengkapi satu per satu, tidak harus sekaligus, selama sebelum batas waktu.","isi bertahap, simpan per bagian, parsial, fleksibel"
"Bisakah satu akun dipakai mendaftarkan lebih dari satu anak?","Saat ini satu akun digunakan untuk satu pendaftar. Jika ingin mendaftarkan saudara kandung, buat akun terpisah untuk tiap anak.","akun ganda, beberapa anak, saudara, multi akun"
"Bagaimana cara mendaftarkan saudara kandung?","Buat akun baru dengan email berbeda, isi data saudara, lalu unggah berkas. Cantumkan keterangan saudara kandung pada kolom keterangan jika perlu.","saudara kandung, daftar kedua, akun baru, email berbeda"
"Apakah ada potongan biaya untuk saudara kandung?","Kebijakan diskon saudara mengikuti tahun berjalan. Tanyakan ke admin dengan menyertakan nama dan nomor pendaftaran masing-masing.","diskon saudara, potongan biaya, siblings, kebijakan"
"Kenapa saya tiba-tiba logout sendiri dari dashboard?","Sesi login otomatis berakhir setelah periode tertentu demi keamanan. Silakan login ulang dan lanjutkan pengisian.","logout otomatis, sesi habis, login ulang, keamanan"
